ID;Movimiento;Tipo;DMG;PP;Tiempo;Atributo;Habilidad;Acc;Efecto;Efecto RPG;CD;Base;Blanco;Prioridad;Distancia;Categoria;Nivel;Moves
M0203;Viento Aciago;Fantasma;DB + 1d6 + 1;2 Rondas;2 Acciones;Destreza;Canalizar;1;10% de aumentar un nivel el Ataque, la Defensa, la Velocidad, el Ataque Especial y la Defensa Especial al usuario.;"CD 18 de Aumentar +1 a los Atributos
/r [[1d20]]";CD 18;Especial;Area;0;Cono (15 ft);-;02 Amateur [A];Ominous Wind
M0204;Anillo igneo;Fuego;DB + 3d4;1 cada 3 Rondas;;Energia;Canalizar;-1;Impide al usuario usar un movimiento o ser intercambiado en el siguiente turno.;;;Especial;Elegido;0;Area;Letal;Ace;Blast Burn
M0205;Ascuas;Fuego;DB + 1d4 + 1;1 PP;2 Acciones;Destreza;Canalizar;1;10% de quemar al rival.;"CD 18 de Quemar al rival.
/r [[1d20]]";CD 18;Especial;Elegido;0;Lanzar (25 ft);Quemadura;01 Begginer [B];Ember
M0206;Balon igneo;Fuego;DB + 2d6;2 Rondas;2 Acciones;Energia;Lanzar;-1;10% de quemar al rival.;"CD 18 de Quemar al rival
/r [[1d20]]";CD 18;Fisico;Elegido;0;Lanzar (25 ft);"Proyectil; Quemadura";02 Amateur [A];Pyro Ball
M0207;Bomba ignea;Fuego;DB + 1d6 + 2;2 Rondas;2 Acciones;Energia;Lanzar;1;30% de quemar al rival.;"CD 14 de Quemar al rival
/r [[1d20]]";CD 14;Especial;Oponentes;0;Area (10ft);"Proyectil; Quemadura";05 Legend [L];Searing Shot
M0208;Cabeza Sorpresa;Fuego;DB + 3d4;1 cada 3 Rondas;;Sabiduria;Lanzar;+1;El usuario recibe un daño equivalente al 50% de su PS maximo.;;;Especial;Area;0;Area;-;Pro;Mind Blown
M0209;Calcinacion;Fuego;DB + 1d6 + 1;1 cada 2 Rondas;;Destreza;Canalizar;+1;Quema la Baya del Pokemon objetivo y la hace inservible.;;;Especial;Oponentes;0;Area;-;Begginer;Incinerate
M0210;Canto Ardiente;Fuego;DB + 1d8;1 cada 2 Rondas;;Energia;Artes;+1;Aumenta un nivel el Ataque Especial al usuario.;;;Especial;Elegido;0;Rango;Sonido;Ace;Torch Song
M0211;Cañon Armadura;Fuego;DB + 2d6;1 cada 3 Rondas;;Destreza;Canalizar;+1;Baja un nivel la Defensa y la Defensa Especial al usuario.;;;Especial;Elegido;0;Rango;¤;Ace;Armor Cannon
M0212;Colera Ardiente;Fuego;DB + 1d8;1 cada 2 Rondas;;Destreza;Combate;+1;El poder base se duplica si el usuario fallo el ultimo movimiento usado.;;;Fisico;Elegido;0;Contacto;-;Amateur;Temper Flare
M0213;Colmillo igneo;Fuego;DB + 1d6 + 1;1 Ronda;2 Acciones;Destreza;Combatir;0;10% de quemar al rival y 10% de hacer retroceder al rival. Ambos efectos son independientes y pueden ocurrir a la vez.;"CD 18 de Quemar al rival y otro para causar Retroceso
/r [[1d20]] + [[1d20]]";CD 18;Fisico;Elegido;0;Contacto (5ft);"Mordisco; Quemadura; Retroceso";01 Beginner [B];Fire Fang
M0214;Coraza Trampa;Fuego;DB + 3d4;1 cada 3 Rondas;;Destreza;Sigilo;+1;Ataca ultimo solamente si ha recibido un ataque fisico del Pokemon rival durante el mismo turno.;;;Especial;Oponentes;-2;Area;Letal;Ace;Shell Trap
M0215;Danza Llama;Fuego;DB + 1d8;1 Ronda;2 Acciones;Destreza;Presentar;1;50% de aumentar un nivel el Ataque Especial al usuario.;"CD 10 de Aumentar +1 ENE
/r [[1d20]]";CD 10;Especial;Elegido;0;Lanzar (25 ft);Danza;03 Elite [E];Fiery Dance
M0216;Dia Soleado;Fuego;-;1 Ronda;3 Acciones;Carisma;Naturaleza;0;Provoca Dia Soleado.;Cambia el Clima por Sol Intenso. Dura 5 Rondas;;Otros;Campo;0;Campo (50 ft);Clima;02 Amateur [A];Sunny Day
M0217;Envidia Ardiente;Fuego;DB + 1d8;1 cada 3 Rondas;;Destreza;Canalizar;+1;Provoca Quemadura al Pokemon objetivo si ha aumentado sus stats en el mismo turno.;;;Especial;Oponentes;0;Area;-;Ace;Burning Jealousy
M0218;Envite igneo;Fuego;DB + 2d6;1 Ronda;2 Acciones;Fuerza;Combatir;0;10% de quemar al rival. Provoca un da¤o de retroceso del 33% del da¤o provocado al Pokemon rival.;CD 18 de Quemar al rival. El Usuario pierde HP equivalente al DB;CD 18;Fisico;Elegido;0;Contacto (5ft);"Recoil; Quemadura";04 Master [M];Flare Blitz
M0219;Erupcion de Ira;Fuego;DB + 2d6;1 cada 2 Rondas;;Fuerza;Canalizar;+1;El usuario golpea con este ataque durante 2 o 3 turnos sin poder ser intercambiado, tras lo cual pasa a estar confundido.;;;Fisico;Elegido;0;Contacto;Letal;Ace;Raging Fury
M0220;Espada Lamento;Fuego;DB + 2d4;1 Ronda;2 Acciones;Destreza;Empatia;1;El usuario recupera PS equivalente a la mitad del da¤o causado.;El usuario recupera PS equivalente a la mitad del Dmg causado.;;Fisico;Elegido;0;Contacto (5ft);"Corte; Drenaje";05 Legend [L];Bitter Blade
M0221;Estallido;Fuego;DB + 3d4;1 cada 3 Rondas;;Energia;Canalizar;+1;El poder de este movimiento sera mayor cuanto mayor el PS del usuario. El daño sera: 150 x ( PS actual / PS total ).;;;Especial;Oponentes;0;Area;Letal;Ace;Eruption
M0222;Fuego Fatuo;Fuego;-;1 cada 2 Rondas;;Energia;Canalizar;-2;Provoca Quemadura. Activa la habilidad Absorbe Fuego.;;;Otros;Elegido;0;-;-;Begginer;Will-O-Wisp
M0223;Fuego Sagrado;Fuego;DB + 1d6 + 2;2 Rondas;2 Acciones;Destreza;Combatir;0;50% de quemar al rival. Puede ser utilizado incluso cuando el Pokemon esta congelado, curando automaticamente la congelacion.;"CD 10 de Incendiar al rival
/r [[1d20]]";CD 10;Fisico;Elegido;0;Lanzar (25 ft);-;05 Legend [L];Sacred Fire
M0224;Giro Fuego;Fuego;DB + 1d4 + 1;1 Ronda;2 Acciones;Destreza;Canalizar;-2;El Pokemon rival permanece atrapado de 4 a 5 turnos, recibiendo un da¤o del 12.5% del PS cada turno.; Bloquea al Blanco. Inflige 1 de Dmg al final de la Ronda;;Especial;Elegido;0;Larga (40 ft);Prision;02 Amateur [A];Fire Spin
M0225;Golpe Calor;Fuego;Xd4;1 Ronda;2 Acciones;Fuerza;Combatir;1;Este movimiento tiene un poder base variable en funcion del peso del usuario y del Pokemon rival.;El Dmg de este movimiento aumenta 1d4 por cada punto de VIT adicional del Usuario contra la VIT del Blanco  (Max 5d4);;Fisico;Elegido;0;Contacto (5ft);Creciente;02 Amateur [A];Heat Crash
M0226;Humareda;Fuego;DB + 1d8;1 Ronda;2 Acciones;Destreza;Canalizar;1;30% de quemar al rival.;"CD 14 de Quemar al rival
/r [[1d20]]";CD 14;Especial;Area;0;Area (10ft);Quemadura;02 Amateur [A];Lava Plume
M0227;Infierno;Fuego;DB + 1d6 + 2;1 cada 3 Rondas;;Destreza;Canalizar;-4;100% de quemar al rival.;;;Especial;Elegido;0;Rango;Letal;Ace;Inferno
M0228;Lanzallamas;Fuego;DB + 2d4;1 Ronda;2 Acciones;Destreza;Lanzar;1;10% de quemar al rival.;"CD 18 de Quemar al rival.
/r [[1d20]]";CD 18;Especial;Area;0;Linear (20 ft);Quemadura;02 Amateur [A];Flamethrower
M0229;Latigo igneo;Fuego;DB + 1d8;1 cada 2 Rondas;;Destreza;Combate;+1;100% de reducir un nivel la Defensa al rival.;;;Fisico;Elegido;0;Contacto;-;Amateur;Fire Lash
M0230;Llama Azul;Fuego;DB + 2d6;2 Rondas;2 Acciones;Energia;Canalizar;-2;20% de quemar al rival.;"CD 16 de Incendiar al rival
/r [[1d20]]";CD 16;Especial;Elegido;0;Lanzar (25 ft);-;05 Legend [L];Blue Flare
M0231;Llama Embrujada;Fuego;DB + 1d8;1 cada 2 Rondas;;Destreza;Canalizar;+1;100% de reducir un nivel el Ataque Especial al rival.;;;Especial;Elegido;0;Rango;-;Amateur;Mystical Fire
M0232;Llama Final;Fuego;DB + 2d6;1 cada 3 Rondas;;Energia;Canalizar;+1;El usuario perdera su tipo Fuego (si lo tiene), con lo que ello afecta a sus inmunidades, debilidades y resistencias.;;;Especial;Elegido;0;Rango;Letal;Ace;Burn Up
M0233;Llama Fusion;Fuego;DB + 1d6 + 2;1 cada 3 Rondas;;Energia;Canalizar;+1;El poder base de este movimiento se duplica si otro Pokemon utiliza Rayo Fusion o Ataque Fulgor inmediatamente antes en el mismo turno.;;;Especial;Elegido;0;Rango;Letal;Pro;Fusion Flare
M0234;Llama Protectora;Fuego;-;4 PP;Reaccion;Vitalidad;Atletismo;0;Evita todo da¤o directo y efectos de movimientos del rival. Su precision se reduce con cada uso consecutivo. Provoca Quemadura al Pokemon que intente tocarlo.;Evita todo Dmg directo y efectos de movimientos del rival. Si el movimiento bloqueado era de contacto, Incendia al rival;;Otros;Usuario;4;Propio;"Escudo; Quemadura";04 Master [M];Burning Bulwark
M0235;Llamarada;Fuego;DB + 1d6 + 2;2 Rondas;2 Acciones;Energia;Canalizar;-2;10% de quemar al rival.;"CD 18 de Quemar al rival.
/r [[1d20]]";CD 18;Especial;Elegido;0;Lanzar (25 ft);Quemadura;03 Elite [E];Fire Blast
M0236;Lluvia ignea;Fuego;DB + 1d6 + 2;2 Rondas;2 Acciones;Energia;Canalizar;-3;El Pokemon rival permanece atrapado de 4 a 5 turnos, recibiendo un da¤o del 12.5% del PS cada turno.; Bloquea al Blanco. Inflige 1 de Dmg al final de la Ronda;;Especial;Area;-1;Area (10ft);Prision;05 Legend [L];Magma Storm
M0237;Nitrocarga;Fuego;DB + 1d6;1 PP;2 Acciones;Destreza;Acrobacias;1;Aumenta un nivel la Velocidad al usuario.;Aumenta +1 DES;;Fisico;Elegido;0;Contacto (5ft);-;02 Amateur [A];Flame Charge
M0238;Onda ignea;Fuego;DB + 2d4;1 Ronda;2 Acciones;Destreza;Canalizar;-1;10% de quemar al rival.;"CD 18 de causar Quemadura
/r [[1d20]]";CD 18;Especial;Oponentes;0;Area (10ft);Quemadura;02 Amateur [A];Heat Wave
M0239;Patada ignea;Fuego;DB + 2d4;1 Ronda;2 Acciones;Destreza;Combatir;-1;10% de quemar al rival. Alta probabilidad de Golpe Critico.;"CD 18 de Quemar. Reduce valor critico en 1
/r [[1d20]]";CD 18;Fisico;Elegido;0;Contacto (5ft);"Preciso; Quemadura";03 Elite [E];Blaze Kick
M0240;Pirochoque;Fuego;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;1;30% de quemar al rival. Solo lo puede usar el Autostar Schedar.;"CD 14 de Quemar al rival
/r [[1d20]]";CD 14;Fisico;Elegido;0;Contacto (5ft);"Star; Quemadura";03 Elite [E];Blazing Torque
M0241;Pirotecnia;Fuego;DB + 1d8;1 cada 2 Rondas;;Destreza;Canalizar;+1;Los Pokemon cercanos al Pokemon objetivo pierden un 6.25% de su PS maximo.;;;Especial;Elegido;0;Rango;-;Begginer;Flame Burst
M0242;Puño Fuego;Fuego;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;1;10% de quemar al rival.;"CD 18 de Quemar al rival.
/r [[1d20]]";CD 18;Fisico;Elegido;0;Contacto (5ft);"¤; Puño; Quemadura";01 Beginner [B];Fire Punch
M0243;Rueda Fuego;Fuego;DB + 1d6 + 1;1 PP;2 Acciones;Destreza;Combatir;1;10% de quemar al rival. Puede ser utilizado incluso cuando el Pokemon esta congelado, curando automaticamente la congelacion.;"CD 18 de Quemar al rival.
/r [[1d20]]";CD 18;Fisico;Elegido;0;Contacto (5ft);Quemadura;01 Beginner [B];Flame Wheel
M0244;Sofoco;Fuego;DB + 2d6;2 Rondas;2-3 Acciones;Energia;Canalizar;-2;100% de reducir dos niveles el Ataque Especial al usuario.; Reduce -2 ENE del usuario;;Especial;Area;0;Area (10ft);-;04 Master [M];Overheat
M0245;V de Fuego;Fuego;DB + 2d8;1 cada 3 Rondas;;Fuerza;Combate;;Baja un nivel la Defensa, la Defensa Especial y la Velocidad al usuario.;;;Fisico;Elegido;0;Contacto;-;Pro;V-create
M0246;Voto Fuego;Fuego;DB + 1d8;1 cada 2 Rondas;;Destreza;Empatia;+1;Se combina con Voto Agua y con Voto Planta.;;;Especial;Elegido;0;Rango;-;Ace;Fire Pledge
M0247;Beso Drenaje;Hada;DB + 1d6;1 Ronda;2 Acciones;Carisma;Empatia;1;El usuario recupera PS equivalente al 75% del da¤o causado.;El usuario recupera PS equivalente al Dmg causado.;;Especial;Elegido;0;Lanzar (25 ft);Drenaje;02 Amateur [A];Draining Kiss
M0248;Beso Dulce;Hada;-;1 cada 2 Rondas;;Carisma;Persuacion;-3;Provoca Confusion.;;;Otros;Elegido;0;-;-;Starter;Sweet Kiss
M0249;Brillo Magico;Hada;DB + 1d8;1 Ronda;2 Acciones;Energia;Canalizar;1;Ninguno.;-;;Especial;Oponentes;0;Cono (15 ft);-;03 Elite [E];Dazzling Gleam
M0250;Bruma Explosiva;Hada;DB + 1d6 + 2;1 cada 3 Rondas;;Energia;Naturaleza;+1;El usuario cae debilitado tras usar este movimiento. El movimiento fallara si su objetivo desaparece. El poder base aumenta un 50% si hay un campo de niebla.;;;Especial;Area;0;Area;-;Amateur;Misty Explosion
M0251;Campo de Niebla;Hada;-;1 cada 2 Rondas;;Sabiduria;Naturaleza;-;Crea un campo de niebla durante 5 turnos. Los Pokemon en el suelo no pueden ver alterado su estado, y reciben la mitad de daño de ataques de tipo Dragon.;;;Otros;Campo;0;-;-;Amateur;Misty Terrain
M0252;Canto Encantador;Hada;DB + 1d8;1 cada 2 Rondas;;Carisma;Artes;+1;Provoca Confusion al Pokemon objetivo si ha aumentado sus stats en el mismo turno.;;;Especial;Elegido;0;Rango;Sonido;Ace;Alluring Voice
M0253;Cañon Floral;Hada;DB + 2d6;1 cada 3 Rondas;;Energia;Canalizar;-1;100% de reducir dos niveles el Ataque Especial al usuario.;;;Especial;Elegido;0;Rango;"¤; Letal";Pro;Fleur Cannon
M0254;Carantoña;Hada;DB + 2d4;1 Ronda;2 Acciones;Destreza;Combatir;-1;10% de reducir un nivel el Ataque al rival.;"CD 18 de Reducir -1 FUE
/r [[1d20]]";CD 18;Fisico;Elegido;0;Contacto (5ft);¤;03 Elite [E];Play Rough
M0255;Cautivapor;Hada;DB + 2d4;1 Ronda;2 Acciones;Energia;Canalizar;0;20% de confundir al rival.;"CD 16 de confundir al rival
/r [[1d20]]";CD 16;Especial;Elegido;0;Linear (20 ft);-;02 Amateur [A];Strange Steam
M0256;Cerrojo Feerico;Hada;-;1 PP;1 Accion;Sabiduria;Naturaleza;0;Impide al rival ser intercambiado en el siguiente turno, salvo usando Relevo, Ida y Vuelta, Voltiocambio o ultima Palabra, o si tiene Muda Concha o Boton Escape.;"Esparce cadenas encantadas en el campo con CD igual a la precision obtenida, las cuales causan 1 de Dmg de tipo Hada al moverse sobre ellas sin evitarlas. Adicionalmente, lanza una CD 10  para bloquear al blanco.
/r [[1d3]]";;Otros;Campo;0;Campo (50 ft);"Trampa; Prision";02 Amateur [A];Fairy Lock
M0257;Choque Animico;Hada;DB + 1d8;1 cada 2 Rondas;;Sabiduria;Combate;+1;Baja un nivel el Ataque Especial al rival.;;;Fisico;Elegido;0;Contacto;-;Amateur;Spirit Break
M0258;Ciclon Primavera;Hada;DB + 1d6 + 2;1 Ronda;2 Acciones;Energia;Naturaleza;-2;30% de reducir un nivel el Ataque al rival.;"CD 14 de Reducir -1 FUE
/r [[1d20]]";CD 14;Especial;Elegido;0;Cono (15 ft);-;05 Legend [L];Springtide Storm
M0259;Cura Floral;Hada;-;2 Rondas;2 Acciones;Sabiduria;Naturaleza;0;El Pokemon objetivo recupera 66.6% PS en Campo de Hierba, y 50% PS si no hay campo o en Campo Electrico, Campo Psiquico o Campo de Niebla.;El usuario recupera PS equivalente a su Car. Adicional, si esta el Campo de Hierba activo cura 2 puntos adicionales, y -2 en otros Campos;;Otros;Aliado;0;Lanzar (25 ft);Curacion;04 Master [M];Floral Healing
M0260;Decoracion;Hada;-;1 cada 2 Rondas;;Carisma;Naturaleza;-;Aumenta dos niveles el Ataque y el Ataque Especial del Pokemon objetivo.;;;Otros;Aliados;0;-;-;Starter;Decorate
M0261;Defensa Floral;Hada;-;1 cada 2 Rondas;;Sabiduria;Naturaleza;-;Aumenta un nivel la Defensa a todos los Pokemon de tipo Planta en combate.;;;Otros;Campo;0;-;-;Starter;Flower Shield
M0262;Encanto;Hada;-;1/Ronda;;Carisma;Persuacion;+1;Baja dos niveles el Ataque al rival.;;;Otros;Elegido;0;-;-;Starter;Charm
M0263;Feerichoque;Hada;DB + 1d6 + 2;1 Ronda;2 Acciones;Destreza;Combatir;1;30% de confundir al rival. Solo lo puede usar el Autostar Ruchbah.;"CD 14 de confundir al rival
/r [[1d20]]";CD 14;Fisico;Elegido;0;Contacto (5ft);Star;03 Elite [E];Magical Torque
M0264;Fuerza Lunar;Hada;DB + 2d4;1 Ronda;2 Acciones;Energia;Canalizar;1;30% de reducir un nivel el Ataque Especial al rival.;"CD 14 de Reducir -1 ENE
/r [[1d20]]";CD 14;Especial;Elegido;0;Lanzar (25 ft);-;03 Elite [E];Moonblast
M0265;Furia Natural;Hada;2;1 Ronda;2 Acciones;Sabiduria;Naturaleza;-1;Causa un da¤o equivalente a la mitad del PS que le queda al Pokemon rival.;El movimiento hiere directamente al rival ignorando Defensas, aplica Debilidad o Resistencia;;Especial;Elegido;0;Lanzar (25 ft);-;05 Legend [L];Nature?s Madness
M0266;Geocontrol;Hada;-;1 cada 2 Rondas;;Sabiduria;Naturaleza;-;Se prepara en el primer turno para aumentar dos niveles su Ataque Especial, su Defensa Especial y su Velocidad en el segundo.;;;Otros;Usuario;0;-;-;Pro;Geomancy
M0267;Luz Aniquiladora;Hada;DB + 3d4;2 Rondas;3  Acciones;Energia;Canalizar;-1;Provoca un da¤o de retroceso del 50% del da¤o provocado al Pokemon rival.; El Usuario pierde HP equivalente al DB;;Especial;Elegido;0;Lanzar (25 ft);Recoil;04 Master [M];Light of Ruin
M0268;Luz Lunar;Hada;-;2 Rondas;2 Acciones;Sabiduria;Medicina;0;El usuario recupera 66.6% PS en Dia Soleado, 50% PS si no hay clima, y 25% en Llovizna, Granizo o Tormenta de Arena.;El usuario recupera PS equivalente a su Car. Adicional, si es de noche cura 2 puntos adicionales, y -2 en otro clima;;Otros;Usuario;0;Propio;"Curacion; Clima";03 Elite [E];Moonlight
M0269;Niebla Aromatica;Hada;-;1/Ronda;;Sabiduria;Naturaleza;-;Aumenta un nivel la Defensa Especial al usuario y sus aliados.;;;Otros;Aliados;0;-;-;Starter;Aromatic Mist
M0270;Ojitos Tiernos;Hada;-;1/Ronda;;Carisma;Persuacion;+1;Baja un nivel el Ataque al rival. Golpea primero.;;;Otros;Elegido;2;-;-;Begginer;Baby-Doll Eyes
M0271;Truco Defensa;Hada;-;4 PP;Reaccion;Sabiduria;Naturaleza;0;Evita todo efecto de movimientos del rival para el y sus aliados. Su precision se reduce con cada uso consecutivo. No evita movimientos de da¤o directo.;Evita todos los efectos de movimientos del rival tanto al usuario como a sus aliados.;;Otros;Equipo;4;Area (10ft);Escudo;03 Elite [E];Crafty Shield
M0272;Viento Feerico;Hada;DB + 1d4 + 1;1 PP;2 Acciones;Destreza;Canalizar;1;Ninguno.;-;;Especial;Elegido;0;Cono (15 ft);-;01 Beginner [B];Fairy Wind
M0273;Voz Cautivadora;Hada;DB + 1d4 + 1;1 cada 2 Rondas;2 Acciones;Sabiduria;Artes;-;Siempre golpea.;;;Especial;Oponentes;0;Area;Sonido;01 Begginer [B];Disarming Voice
M0274;Alud;Hielo;DB + 1d6 + 1;1 cada 2 Rondas;;Destreza;Combate;+1;El poder base se duplica si el usuario es golpeado antes de usar este movimiento en el mismo turno.;;;Fisico;Elegido;-3;Contacto;-;Begginer;Avalanche
M0275;Bola Hielo;Hielo;DB + 1d4;1/Ronda;;Destreza;Combate;-1;El usuario debe usar este movimiento por hasta 5 turnos (mientras no falle). Por cada turno que use el ataque, su poder base se dobla.;;;Fisico;Elegido;0;Contacto;Proyectil;Begginer;Ice Ball
M0276;Carambano;Hielo;DB + 1d4;1 Ronda;1 Accion;Destreza;Lanzar;-2;Golpea de 2 a 5 veces seguidas.;Puede usarse consecutivamente;;Fisico;Elegido;0;Lanzar (25 ft);Recurrente;02 Amateur [A];Icicle Spear
M0277;Chuzos;Hielo;DB + 2d4;1 Ronda;2 Acciones;Destreza;Combatir;-1;30% de hacer retroceder al rival.;"CD 14 de causar Retroceso
/r [[1d20]]";CD 14;Fisico;Elegido;0;Lanzar (25 ft);Retroceso;01 Beginner [B];Icicle Crash
M0278;Colmillo Hielo;Hielo;DB + 1d6 + 1;1 Ronda;2 Acciones;Destreza;Combatir;0;10% de congelar al rival y 10% de hacer retroceder al rival. Ambos efectos son independientes y pueden ocurrir a la vez.;"CD 18 de Congelar al rival y otro para causar Retroceso
/r [[1d20]] + [[1d20]]";CD 18;Fisico;Elegido;0;Contacto (5ft);"Mordisco; Congelacion; Retroceso";01 Beginner [B];Ice Fang
M0279;Esquirla Helada;Hielo;DB + 1d4 + 1;1 PP;Reaccion;Destreza;Lanzar;1;Golpea primero.;Sin Efecto;;Fisico;Elegido;2;Lanzar (25 ft);-;01 Beginner [B];Ice Shard
M0280;Fria Acogida;Hielo;-;1 cada 2 Rondas;;Energia;Naturaleza;-;Provoca Nevada. El Pokemon debe ser intercambiado tras usar este ataque. Permite escapar de trampas y pseudo-trampas.;;;Otros;Usuario;0;-;-;Amateur;Chilly Reception
M0281;Frio Polar;Hielo;DB + 3d6;1 cada 3 Rondas;;Energia;Canalizar;-5;Puede debilitar al Pokemon rival de un solo golpe.;;;Especial;Elegido;0;Rango;Letal;Ace;Sheer Cold
M0282;Granizo;Hielo;-;1 Ronda;3 Acciones;Energia;Naturaleza;0;Provoca Granizo.;Cambia el Clima por Granizo. Dura 5 Rondas;;Otros;Campo;0;Campo (50 ft);Clima;02 Amateur [A];Hail
M0283;Lanza Glacial;Hielo;DB + 2d6;2 Rondas;2 Acciones;Destreza;Canalizar;1;Ninguno.;-;;Fisico;Oponentes;0;Linear (20 ft);-;05 Legend [L];Glacial Lance
M0284;Liofilizacion;Hielo;DB + 1d8;1 PP;2 Acciones;Destreza;Canalizar;1;10% de congelar al rival. Es muy efectivo contra Pokemon de tipo Agua.;"CD 18 de Congelar al rival. Es superefectivo contra el tipo agua
/r [[1d20]]";CD 18;Especial;Elegido;0;Lanzar (25 ft);Congelacion;05 Legend [L];Freeze-Dry
M0285;Llama Gelida;Hielo;DB + 3d4;2 Rondas;3 Acciones;Energia;Canalizar;-1;30% de quemar al rival. Se prepara el primer turno para atacar en el segundo.;"CD 14 de Incendiar al rival
/r [[1d20]]";CD 14;Especial;Elegido;-2;Linear (20 ft);-;05 Legend [L];Ice Burn
M0286;Martillo Hielo;Hielo;DB + 1d6 + 2;1 cada 2 Rondas;;Fuerza;Combate;-1;Baja un nivel la Velocidad al usuario.;;;Fisico;Elegido;0;Contacto;-;Amateur;Ice Hammer
M0287;Mundo Gelido;Hielo;DB + 1d6 + 1;1 cada 2 Rondas;;Destreza;Canalizar;;Baja un nivel la Velocidad al rival.;;;Especial;Oponentes;0;Area;Letal;Pro;Glaciate
M0288;Neblina;Hielo;-;1/Ronda;;Energia;Naturaleza;-;Impide las reducciones de stats por parte de los movimientos del rival o tu compañero durante 5 turnos.;;;Otros;Equipo;0;-;-;Begginer;Mist
M0289;Niebla;Hielo;-;1/Ronda;;Energia;Naturaleza;-;Elimina todos los modificadores de stats de todos los Pokemon.;;;Otros;Campo;0;-;-;Amateur;Haze
M0290;Nieve Polvo;Hielo;DB + 1d4 + 1;1 PP;2 Acciones;Destreza;Canalizar;1;10% de congelar al rival.;"CD 18 de Congelar al rival
/r [[1d20]]";CD 18;Especial;Oponentes;0;Cono (15 ft);Congelacion;01 Beginner [B];Powder Snow
M0291;Paisaje Nevado;Hielo;-;1 Ronda;2 Acciones;Energia;Naturaleza;0;Provoca Nevada.;Cambia el Clima por Nevada. Dura 5 Rondas;;Otros;Campo;0;Campo (50 ft);Clima;02 Amateur [A];Snowscape
M0292;Pirueta Helada;Hielo;DB + 1d8;1 cada 2 Rondas;;Destreza;Combate;+1;Elimina los efectos de Campo de Hierba, Campo Electrico, Campo Psiquico y Campo de Niebla.;;;Fisico;Elegido;0;Contacto;-;Amateur;Ice Spinner
M0293;Puño Hielo;Hielo;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;1;10% de congelar al rival.;"CD 18 de Congelar al rival.
/r [[1d20]]";CD 18;Fisico;Elegido;0;Contacto (5ft);"¤; Puño; Congelacion";01 Beginner [B];Ice Punch
M0294;Rayo Aurora;Hielo;DB + 1d6 + 1;1 PP;2 Acciones;Destreza;Lanzar;1;10% de reducir un nivel el Ataque al rival.;"CD 18 de Reducir -1 FUE.
/r [[1d20]]";CD 18;Especial;Elegido;0;Linear (20 ft);-;01 Beginner [B];Aurora Beam
M0295;Rayo Gelido;Hielo;DB + 3d4;2 Rondas;2-3 Acciones;Energia;Canalizar;-1;30% de paralizar al rival. Se prepara el primer turno para atacar en el segundo.;"CD 14 de Paralizar al rival
/r [[1d20]]";CD 14;Fisico;Elegido;-2;Linear (20 ft);Paralisis;04 Master [M];Freeze Shock
M0296;Rayo Hielo;Hielo;DB + 2d4;1 Ronda;2 Acciones;Destreza;Lanzar;1;10% de congelar al rival.;"CD 18 de Congelar al rival.
/r [[1d20]]";CD 18;Especial;Elegido;0;Linear (20 ft);Congelacion;03 Elite [E];Ice Beam
M0297;Triple Axel;Hielo;DB + 1d4;1 cada 2 Rondas;;Destreza;Combate;-1;Golpea 3 veces seguidas. El poder base de cada golpe aumenta cada vez (20, 40 y 60).;;;Fisico;Elegido;0;Contacto;-;Amateur;Triple Axel
M0298;Vaho Gelido;Hielo;DB + 1d6;2 Rondas;2 Acciones;Destreza;Canalizar;-1;Siempre provoca un Golpe Critico salvo que una habilidad o efecto lo impida.;Siempre realiza Dmg Critico;;Especial;Elegido;0;Lanzar (25 ft);-;02 Amateur [A];Frost Breath
M0299;Velo Aurora;Hielo;-;1/Ronda;;Energia;Canalizar;-;Reduce el daño provocado a tu Pokemon por ataques fisicos y especiales del rival en un 50% (33% en 2vs2) durante 5 turnos. Solo se puede usar durante Granizo.;;;Otros;Equipo;0;-;-;Ace;Aurora Veil
M0300;Ventisca;Hielo;DB + 1d6 + 2;2 Rondas;2 Acciones;Energia;Canalizar;-3;10% de congelar al rival. En Granizo no falla.;"CD 18 de Congelar al rival; Si el clima es Granizo Aumenta +6 ACC, en otro clima Reduce -2 Acc
/r [[1d20]]";CD 18;Especial;Oponentes;0;Area (10ft);"Congelacion; Clima";03 Elite [E];Blizzard
M0301;Viento Carambano;Hielo;DB + 1d6 + 2;1 Ronda;2 Acciones;Destreza;Canalizar;-2;30% de hacer retroceder al rival.;"CD 14 de causar Retroceso
/r [[1d20]]";CD 14;Fisico;Elegido;0;Lanzar (25 ft);Retroceso;02 Amateur [A];Mountain Gale
M0302;Viento Hielo;Hielo;DB + 1d6;1 Ronda;2 Acciones;Destreza;Canalizar;0;100% de reducir un nivel la Velocidad al rival.;Reduce -1 DES;;Especial;Oponentes;0;Cono (15 ft);-;02 Amateur [A];Icy Wind
M0303;A Bocajarro;Lucha;DB + 2d6;1 cada 3 Rondas;;Fuerza;Combate;+1;Baja un nivel la Defensa y la Defensa Especial al usuario.;;;Fisico;Elegido;0;Contacto;-;Ace;Close Combat
